Alphekka,CrB,26.714693,15.578128,120.38,-89.44,2.0
Unukalhai,Ser,6.425627,15.737798,134.66,44.14,2.7
Dschubba,Sco,-22.62171,16.005557,-8.67,-36.9,-7.0
Graffias,Sco,-19.805453,16.09062,-6.75,-24.89,-1.0
Antares,Sco,-26.432002,16.490128,-10.16,-23.21,-3.0
Kornephoros,Her,21.489613,16.503668,-98.43,-14.49,-26.0
Atria,TrA,-69.027715,16.811077,17.85,-32.92,-3.0
Rasalgethi,Her,14.390333,17.244127,-6.71,32.78,-33.0
Rastaban,Dra,52.301387,17.507213,-15.59,11.57,-20.0
Shaula,Sco,-37.103821,17.560145,-8.9,-29.95,-3.0
Rasalhague,Oph,12.560035,17.582241,110.08,-222.61,12.6
Sargas,Sco,-42.997824,17.62198,6.06,-0.95,1.0
Cebalrai,Oph,4.567303,17.724543,-40.67,158.8,-12.0
Etamin,Dra,51.488895,17.943437,-8.52,-23.05,-28.0
Nash,Sgr,-30.424091,18.096803,-55.75,-181.53,22.0
Vega,Lyr,38.783692,18.61564,201.02,287.46,-12.1
Sheliak,Lyr,33.362667,18.834665,1.1,-4.46,-19.0
Nunki,Sgr,-26.296722,18.92109,13.87,-52.65,-11.0
Albaldah,Sgr,-21.023615,19.162731,-1.17,-36.83,-10.0
Albireo,Cyg,27.959681,19.512023,-7.09,-5.63,-24.0
Tarazed,Aql,10.613261,19.770994,15.72,-3.08,-2.0
Altair,Aql,8.868322,19.846388,536.82,385.54,-26.1
Alshain,Aql,6.406763,19.921887,46.35,-481.32,-40.7
Sadr,Cyg,40.256679,20.370473,2.43,-0.93,-8.0
Peacock,Pav,-56.73509,20.427459,7.71,-86.15,2.0
Deneb,Cyg,45.280338,20.690532,1.56,1.55,-5.0
Gienah,Cyg,33.970256,20.770178,356.16,330.28,-10.9
Alderamin,Cep,62.585573,21.30963,149.91,48.27,-11.5
Sadalsuud,Aqr,-5.571172,21.525982,22.79,-6.7,7.0
Enif,Peg,9.875011,21.736433,30.02,1.38,5.0
Sadalmelik,Aqr,-0.319851,22.096399,17.9,-9.93,8.0
Alnair,Gru,-46.960975,22.137209,127.6,-147.91,10.9
Matar,Peg,30.221245,22.716704,13.11,-26.11,4.0
"Babcock's star",Lac,55.589226,22.735418,4.96,-0.98,0.0
Fomalhaut,PsA,-29.622236,22.960838,329.22,-164.22,6.1
Scheat,Peg,28.082789,23.062901,187.76,137.61,9.0
Markab,Peg,15.205264,23.079348,61.1,-42.56,-4.0
